x	kerv(x)	keiv(x)
-9.9	194.357487	391.374851
-9.8	207.450441	352.736751
-9.7	217.1358735	315.793796
-9.6	223.7513146	280.65643
-9.5	227.6189604	247.405684
-9.4	229.0447856	216.096149
-9.3	228.3179093	186.75881
-9.2	225.7101871	159.403717
-9.1	221.4760055	134.022519
-9	215.8522537	110.590834
-8.9	209.0584519	89.070454
-8.8	201.2970146	69.411408
-8.7	192.7536295	51.553857
-8.6	183.5977348	35.4298443
-8.5	173.9830772	20.964893
-8.4	164.0483374	8.0794626
-8.3	153.9178068	-3.3097338
-8.2	143.7021053	-13.2885448
-8.1	133.4989274	-21.9443216
-8	123.3938069	-29.3649783
-7.9	113.460891	-35.6381656
-7.8	103.7637181	-40.8505486
-7.7	94.3559857	-45.0871848
-7.6	85.2823128	-48.4309928
-7.5	76.5789821	-50.962306
-7.4	68.2746618	-52.75850442
-7.3	60.3911042	-53.89371772
-7.2	52.9438156	-54.43859338
-7.1	45.9426972	-54.4601237
-7	39.3926537	-54.02152579
-6.9	33.2941695	-53.18216895
-6.8	27.6438512	-51.9975441
-6.7	22.4349349	-50.5192704
-6.6	17.6577606	-48.795134
-6.5	13.3002115	-46.8691551
-6.4	9.3481198	-44.7816787
-6.3	5.78564	-42.56948534
-6.2	2.5955897	-40.2659191
-6.1	-0.2402402	-37.9010283
-6	-2.7408052	-35.50171741
-5.9	-4.9255553	-33.0919066
-5.8	-6.8142101	-30.6926968
-5.7	-8.42655971	-28.3225389
-5.6	-9.7822891	-25.99740336
-5.5	-10.90082606	-23.7309512
-5.4	-11.80120926	-21.5347021
-5.3	-12.50197657	-19.4182009
-5.2	-13.02107109	-17.3891795
-5.1	-13.37576397	-15.4537143
-5	-13.58259233	-13.61637811
-4.9	-13.6573112	-11.8803862
-4.8	-13.61485781	-10.2477351
-4.7	-13.46932729	-8.7193356
-4.6	-13.23395834	-7.29513713
-4.5	-12.92112793	-5.97424582
-4.4	-12.54235381	-4.75503482
-4.3	-12.10830391	-3.635247
-4.2	-11.6288117	-2.61209038
-4.1	-11.11289653	-1.68232625
-4	-10.56878837	-0.84235016
-3.9	-10.00395586	-0.08826594
-3.8	-9.425137423	0.58404689
-3.7	-8.83837443	1.17887226
-3.6	-8.24904608	1.7006027
-3.5	-7.66190543	2.15369049
-3.4	-7.08111611	2.54260421
-3.3	-6.51028933	2.87179059
-3.2	-5.95252079	3.14564125
-3.1	-5.41042722	3.368463962
-3	-4.88618222	3.54445819
-2.9	-4.38155123	3.677694614
-2.8	-3.8979253	3.772098181
-2.7	-3.43635362	3.831434589
-2.6	-2.99757447	3.859299764
-2.5	-2.58204466	3.859112127
-2.4	-2.18996709	3.834107394
-2.3	-1.821316495	3.787335664
-2.2	-1.47586313	3.721660584
-2.1	-1.153194244	3.639760408
-2	-0.8527332084	3.544130789
-1.9	-0.57375597	3.437089184
-1.8	-0.31540453	3.320780819
-1.7	-0.076696925	3.197186181
-1.6	0.143467092	3.068130175
-1.5	0.346305724	2.935293148
-1.4	0.5331620369	2.800224285
-1.3	0.705520865	2.664358188
-1.2	0.865040346	2.529036118
-1.1	1.013605865	2.395534467
-1	1.153419949	2.265105077
-0.9	1.287152882	2.139036002
-0.8	1.418201615	2.01874953
-0.7	1.551154448	1.905972431
-0.6	1.692677606	1.803057088
-0.5	1.85335319	1.713649054
-0.4	2.05194906	1.644256
-0.3	2.327098717	1.6086132
-0.2	2.778585094	1.643436995
-0.1	3.80509779	1.901417729
0	\u221e	-\u221e
0.1	1.168585379	-3.502978647
0.2	0.60492356	-2.356507794
0.3	0.332389638	-1.820760235
0.4	0.163736032	-1.484454877
0.5	0.0487081563	-1.243643234
0.6	-0.0334089067	-1.058065075
0.7	-0.09323114609	-0.908386598
0.8	-0.136988638	-0.7839894958
0.9	-0.1686935132	-0.6784684737
1	-0.191109225	-0.5876768989
1.1	-0.2062371728	-0.5087755352
1.2	-0.2155832649	-0.439728332
1.3	-0.220314298	-0.3790169443
1.4	-0.221354952	-0.325470361
1.5	-0.219450828	-0.278158782
1.6	-0.215211072	-0.236325098
1.7	-0.209138227	-0.199339307
1.8	-0.20164978	-0.166667374
1.9	-0.193094151	-0.137849475
2	-0.1837628601	-0.1124844702
2.1	-0.1738999731	-0.0902186272
2.2	-0.1637096046	-0.0707372652
2.3	-0.1533619677	-0.0537584717
2.4	-0.142998336	-0.0390282903
2.5	-0.1327351689	-0.0263169756
2.6	-0.1226675823	-0.015416027
2.7	-0.1128722987	-0.0061358003
2.8	-0.103410178	0.0016964492
2.9	-0.09432840293	0.0082381989
3	-0.0856623785	0.0136330416
3.1	-0.0774373913	0.0180118769
3.2	-0.0696700627	0.0214939537
3.3	-0.0623696271	0.0241877933
3.4	-0.0555390565	0.0261920194
3.5	-0.0491760522	0.0275961101
3.6	-0.0432739188	0.0284810864
3.7	-0.0378223344	0.02892014753
3.8	-0.0328080284	0.02897925948
3.9	-0.0282153777	0.0287177042
4	-0.0240269281	0.02818859267
4.1	-0.0202238511	0.02743934588
4.2	-0.0167863407	0.0265121463
4.3	-0.0136939581	0.025444362
4.4	-0.0109259277	0.02426894521
4.5	-0.00846139116	0.02301480662
4.6	-0.0062796231	0.02170716679
4.7	-0.0043602126	0.02036788559
4.8	-0.00268321355	0.01901577074
4.9	-0.0012292689	0.01766686624
5	2.029052E-5	0.01633472154
5.1	0.00108336778	0.01503064226
5.2	0.00197704089	0.01376392319
5.3	0.00271752032	0.01254206433
5.4	0.00332012111	0.0113709708
5.5	0.00379924752	0.01025513723
5.6	0.00416838856	0.00919781745
5.7	0.00444012283	0.00820118027
5.8	0.00462613128	0.00726645192
5.9	0.00473721646	0.00639404601
6	0.00478332743	0.00558368173
6.1	0.004773588887	0.00483449084
6.2	0.004716333963	0.00414511431
6.3	0.004619139663	0.00351378923
6.4	0.004488864291	0.00293842655
6.5	0.004331686231	0.00241668043
6.6	0.00415314352	0.00194600974
6.7	0.003958173733	0.0015237323
6.8	0.00375115377	0.00114707241
6.9	0.003535939169	8.1320229E-4
7	0.003315902719	5.1927788E-4
7.1	0.003093971989	2.6246951E-4
7.2	0.00287266571	3.99879E-5
7.3	0.002654128769	-1.5089406E-4
7.4	0.00244016567	-3.128233E-4
7.5	0.002232272469	-4.48352072E-4
7.6	0.002031666947	-5.59926393E-4
7.7	0.001839317164	-6.498773E-4
7.8	0.001655968228	-7.20414467E-4
7.9	0.00148216735	-7.7362195E-4
8	0.00131828718	-8.11455777E-4
8.1	0.001164547431	-8.35743144E-4
8.2	0.001021034907	-8.48182981E-4
8.3	8.87721848E-4	-8.50347695E-4
8.4	7.64482788E-4	-8.43685899E-4
8.5	6.51109905E-4	-8.29525948E-4
8.6	5.4732696E-4	-8.0908015E-4
8.7	4.52801884E-4	-7.834494945E-4
8.8	3.67158101E-4	-7.53628793E-4
8.9	2.89984647E-4	-7.20512112E-4
9	2.20845171E-4	-6.84898416E-4
9.1	1.59285886E-4	-6.47497317E-4
9.2	1.04842548E-4	-6.08934883E-4
9.3	5.7046535E-5	-5.69759422E-4
9.4	1.5430097E-5	-5.30447198E-4
9.5	-2.0469159E-5	-4.91408034E-4
9.6	-5.1104472E-5	-4.52990759E-4
9.7	-7.6916772E-5	-4.15488475E-4
9.8	-9.8332088E-5	-3.79143611E-4
9.9	-1.15759478E-4	-3.44152759E-4
10	-1.29589416E-4	-3.10671255E-4
10.1	-1.40192595E-4	-2.78817524E-4
10.2	-1.4791909E-4	-2.48677154E-4
10.3	-1.530978436E-4	-2.20306721E-4
10.4	-1.56036431E-4	-1.93737344E-4
10.5	-1.570210676E-4	-1.6897799E-4
10.6	-1.563168225E-4	-1.46018527E-4
10.7	-1.541680099E-4	-1.24832518E-4
10.8	-1.507987267E-4	-1.05379797E-4
10.9	-1.464135113E-4	-8.7608795E-5
11	-1.411981004E-4	-7.1458661E-5
11.1	-1.353202613E-4	-5.6861169E-5
11.2	-1.289306828E-4	-4.37424222E-5
11.3	-1.22163906E-4	-3.20243832E-5
11.4	-1.151392812E-4	-2.16262162E-5
11.5	-1.079619382E-4	-1.2465475E-5
11.6	-1.00723758E-4	-4.4591357E-6
11.7	-9.35043365E-5	2.4755093E-6
11.8	-8.63719325E-5	8.4200868E-6
11.9	-7.93843925E-5	1.34544965E-5
12	-7.25900466E-5	1.76563722E-5
12.1	-6.60285716E-5	2.11006414E-5
12.2	-5.9731816E-5	2.3859172E-5
12.3	-5.37245867E-5	2.60004998E-5
12.4	-4.80253924E-5	2.75896257E-5
12.5	-4.26471451E-5	2.86878763E-5
12.6	-3.75978166E-5	2.935281912E-5
12.7	-3.28810523E-5	2.96382273E-5
12.8	-2.84967397E-5	2.959408503E-5
12.9	-2.44415348E-5	2.926662981E-5
13	-2.0709346E-5	2.869842487E-5
13.1	-1.72917768E-5	2.792845728E-5
13.2	-1.41785291E-5	2.699225702E-5
13.3	-1.13577687E-5	2.592203306E-5
13.4	-8.8164547E-6	2.474682259E-5
13.5	-6.5406345E-6	2.34926503E-5
13.6	-4.51570654E-6	2.21826946E-5
13.7	-2.72665251E-6	2.08374585E-5
13.8	-1.15824169E-6	1.94749419E-5
13.9	2.0479163E-7	1.811081555E-5
14	1.3775948E-6	1.67585917E-5
14.1	2.375066E-6	1.54297932E-5
14.2	3.2117443E-6	1.41341177E-5
14.3	3.901718E-6	1.2879597E-5
14.4	4.4585507E-6	1.167275E-5
14.5	4.89522208E-6	1.05187299E-5
14.6	5.22408319E-6	9.4214629E-6
14.7	5.45682357E-6	8.38378047E-6
14.8	5.60444956E-6	7.40754388E-6
14.9	5.67727221E-6	6.4937602E-6
15	5.68490355E-6	5.64269094E-6
15.1	5.63626018E-6	4.85395278E-6
15.2	5.53957309E-6	4.126610471E-6
15.3	5.40240274E-6	3.4592623E-6
15.4	5.23165854E-6	2.8501181E-6
15.5	5.03362192E-6	2.2970705E-6
15.6	4.81397231E-6	1.7977588E-6
15.7	4.57781529E-6	1.34962729E-6
15.8	4.32971245E-6	9.4997655E-7
15.9	4.07371237E-6	5.9600963E-7
16	3.8133822E-6	2.848725E-7
16.1	3.55183961E-6	1.368954E-8
16.2	3.29178468E-6	-2.2040564E-7
16.3	3.03553129E-6	-4.2024378E-7
16.4	2.78503808E-6	-5.8859749E-7
16.5	2.54193842E-6	-7.2816248E-7
16.6	2.30756947E-6	-8.4154209E-7
16.7	2.083000031E-6	-9.31234853E-7
16.8	1.869057219E-6	-9.99624814E-7
16.9	1.66635171E-6	-1.04897423E-6
17	1.47530166E-6	-1.08141851E-6
17.1	1.29615513E-6	-1.098963025E-6
17.2	1.1290111E-6	-1.103481664E-6
17.3	9.7383904E-7	-1.096716807E-6
17.4	8.3049698E-7	-1.080280598E-6
17.5	6.9874819E-7	-1.055657294E-6
17.6	5.7827654E-7	-1.024206515E-6
17.7	4.6870039E-7	-9.87167255E-7
17.8	3.6958531E-7	-9.45662503E-7
17.9	2.8045551E-7	-9.00704341E-7
18	2.008041E-7	-8.53199414E-7
18.1	1.30102238E-7	-8.03954663E-7
18.2	6.7807257E-8	-7.53683229E-7
18.3	1.3369777E-8	-7.0301045E-7
18.4	-3.3760077E-8	-6.52479876E-7
18.5	-7.412731E-8	-6.0255925E-7
18.6	-1.0826748E-7	-5.536464E-7
18.7	-1.36702841E-7	-5.0607499E-7
18.8	-1.59939108E-7	-4.6012008E-7
18.9	-1.78462893E-7	-4.1600354E-7
19	-1.92739616E-7	-3.73899179E-7
19.1	-2.03211935E-7	-3.33937659E-7
19.2	-2.102986E-7	-2.96211143E-7
19.3	-2.14393699E-7	-2.60777682E-7
19.4	-2.1586624E-7	-2.27665323E-7
19.5	-2.150600398E-7	-1.96875944E-7
19.6	-2.122938556E-7	-1.68388818E-7
19.7	-2.078617538E-7	-1.42163902E-7
19.8	-2.020336568E-7	-1.18144865E-7
19.9	-1.950560504E-7	-9.6261853E-8
20	-1.871528178E-7	-7.6434015E-8
