x	berv(x)	beiv(x)
-8.6	-52.7088804	-15.155685
-8.5	-50.2186356	-10.7254402
-8.4	-47.6063327	-6.7512201
-8.3	-44.9096935	-3.2104529
-8.2	-42.1624435	-0.0796388
-8.1	-39.3945219	2.6653291
-8	-36.6322966	5.0488782
-7.9	-33.8987849	7.0955038
-7.8	-31.2138744	8.82954783
-7.7	-28.5945439	10.27500624
-7.6	-26.0550818	11.45536461
-7.5	-23.6072998	12.39345831
-7.4	-21.2607423	13.11135621
-7.3	-19.0228877	13.63026573
-7.2	-16.899344	13.97045733
-7.1	-14.8940342	14.15120672
-7	-13.0093747	14.190753
-6.9	-11.2464429	14.10627107
-6.8	-9.6051361	13.91385679
-6.7	-8.0843205	13.6285234
-6.6	-6.68197005	13.26420776
-6.5	-5.39529617	12.83378514
-6.4	-4.22086703	12.34909142
-6.3	-3.15471792	11.82095142
-6.2	-2.19245206	11.2592125
-6.1	-1.32933259	10.67278235
-6	-0.56036588	10.06967016
-5.9	0.11962342	9.45703043
-5.8	0.7159252	8.8412086
-5.7	1.23388414	8.22778799
-5.6	1.67884705	7.62163734
-5.5	2.05611675	7.02695865
-5.4	2.37091215	6.44733466
-5.3	2.628334086	5.88577578
-5.2	2.833336424	5.34476598
-5.1	2.990702077	4.82630753
-5	3.105023486	4.33196418
-4.9	3.180687186	3.86290277
-4.8	3.22186207	3.41993299
-4.7	3.232490988	3.00354517
-4.6	3.216285322	2.61394618
-4.5	3.176722226	2.25109311
-4.4	3.1170442	1.914725
-4.3	3.0402607	1.60439237
-4.2	2.949151581	1.31948465
-4.1	2.84627198	1.05925561
-4	2.733958547	0.822846654
-3.9	2.61433673	0.60930826
-3.8	2.48932894	0.41761937
-3.7	2.360663376	0.246705057
-3.6	2.229883436	0.095452347
-3.5	2.09835746	-0.037275613
-3.4	1.96728876	-0.152626981
-3.3	1.83772574	-0.2517501523
-3.2	1.710572095	-0.335784112
-3.1	1.586596935	-0.405850106
-3	1.466444742	-0.4630445436
-2.9	1.350645165	-0.508433051
-2.8	1.239622531	-0.54304557
-2.7	1.133705063	-0.5678724322
-2.6	1.033133752	-0.5838613222
-2.5	0.93807086	-0.591915046
-2.4	0.848608029	-0.592890037
-2.3	0.7647739964	-0.5875955187
-2.2	0.686541886	-0.5767932731
-2.1	0.613836096	-0.561197931
-2	0.546538773	-0.5414777451
-1.9	0.484495886	-0.518255784
-1.8	0.427522916	-0.492111504
-1.7	0.375410176	-0.46358265
-1.6	0.327927785	-0.433167468
-1.5	0.284830321	-0.401327181
-1.4	0.245861193	-0.368488732
-1.3	0.2107567612	-0.3350477751
-1.2	0.1792502632	-0.301371942
-1.1	0.1510755954	-0.26780441
-1	0.1259710381	-0.234667855
-0.9	0.1036830233	-0.2022689291
-0.8	0.08397009979	-0.1709034928
-0.7	0.06660733451	-0.1408630372
-0.6	0.0513915418	-0.1124430602
-0.5	0.0381480592	-0.0859549057
-0.4	0.0267405128	-0.0617442308
-0.3	0.01708689952	-0.04022364207
-0.2	0.0091912546	-0.02194100426
-0.1	0.0032263058	-0.00776701367
0	0	0
0.1	-0.00776701367	-0.0032263058
0.2	-0.02194100426	-0.0091912546
0.3	-0.04022364207	-0.01708689952
0.4	-0.0617442308	-0.0267405128
0.5	-0.0859549057	-0.0381480592
0.6	-0.1124430602	-0.0513915418
0.7	-0.1408630372	-0.06660733451
0.8	-0.1709034928	-0.08397009979
0.9	-0.2022689291	-0.1036830233
1	-0.234667855	-0.1259710381
1.1	-0.26780441	-0.1510755954
1.2	-0.301371942	-0.1792502632
1.3	-0.3350477751	-0.2107567612
1.4	-0.368488732	-0.245861193
1.5	-0.401327181	-0.284830321
1.6	-0.433167468	-0.327927785
1.7	-0.46358265	-0.375410176
1.8	-0.492111504	-0.427522916
1.9	-0.518255784	-0.484495886
2	-0.5414777451	-0.546538773
2.1	-0.561197931	-0.613836096
2.2	-0.5767932731	-0.686541886
2.3	-0.5875955187	-0.7647739964
2.4	-0.592890037	-0.848608029
2.5	-0.591915046	-0.93807086
2.6	-0.5838613222	-1.033133752
2.7	-0.5678724322	-1.133705063
2.8	-0.54304557	-1.239622531
2.9	-0.508433051	-1.350645165
3	-0.4630445436	-1.466444742
3.1	-0.405850106	-1.586596935
3.2	-0.335784112	-1.710572095
3.3	-0.2517501523	-1.83772574
3.4	-0.152626981	-1.96728876
3.5	-0.037275613	-2.09835746
3.6	0.095452347	-2.229883436
3.7	0.246705057	-2.360663376
3.8	0.41761937	-2.48932894
3.9	0.60930826	-2.61433673
4	0.822846654	-2.733958547
4.1	1.05925561	-2.84627198
4.2	1.31948465	-2.949151581
4.3	1.60439237	-3.0402607
4.4	1.914725	-3.1170442
4.5	2.25109311	-3.176722226
4.6	2.61394618	-3.216285322
4.7	3.00354517	-3.232490988
4.8	3.41993299	-3.22186207
4.9	3.86290277	-3.180687186
5	4.33196418	-3.105023486
5.1	4.82630753	-2.990702077
5.2	5.34476598	-2.833336424
5.3	5.88577578	-2.628334086
5.4	6.44733466	-2.37091215
5.5	7.02695865	-2.05611675
5.6	7.62163734	-1.67884705
5.7	8.22778799	-1.23388414
5.8	8.8412086	-0.7159252
5.9	9.45703043	-0.11962342
6	10.06967016	0.56036588
6.1	10.67278235	1.32933259
6.2	11.2592125	2.19245206
6.3	11.82095142	3.15471792
6.4	12.34909142	4.22086703
6.5	12.83378514	5.39529617
6.6	13.26420776	6.68197005
6.7	13.6285234	8.0843205
6.8	13.91385679	9.6051361
6.9	14.10627107	11.2464429
7	14.190753	13.0093747
7.1	14.15120672	14.8940342
7.2	13.97045733	16.899344
7.3	13.63026573	19.0228877
7.4	13.11135621	21.2607423
7.5	12.39345831	23.6072998
7.6	11.45536461	26.0550818
7.7	10.27500624	28.5945439
7.8	8.82954783	31.2138744
7.9	7.0955038	33.8987849
8	5.0488782	36.6322966
8.1	2.6653291	39.3945219
8.2	-0.0796388	42.1624435
8.3	-3.2104529	44.9096935
8.4	-6.7512201	47.6063327
8.5	-10.7254402	50.2186356
8.6	-15.155685	52.7088804
8.7	-20.0632397	55.03514952
8.8	-25.4677047	57.1511435
8.9	-31.3865581	59.0060112
9	-37.8346748	60.5442015
9.1	-44.823803	61.7053402
9.2	-52.3619955	62.4241384
9.3	-60.4529966	62.63033611
9.4	-69.095583	62.2486875
9.5	-78.2828587	61.19899512
9.6	-88.001506	59.3961976
9.7	-98.2309901	56.7505199
9.8	-108.942725	53.1676924
9.9	-120.099196	48.5492469
10	-131.6530443	42.7928978
10.1	-143.546122	35.7930178
10.2	-155.708516	27.4412145
10.3	-168.057548	17.627021
10.4	-180.49676	6.2387053
10.5	-192.914891	-6.8357885
10.6	-205.184853	-21.70776
10.7	-217.1627242	-38.486521
10.8	-228.686754	-57.278009
10.9	-239.576416	-78.183231
11	-249.631509	-101.296528
11.1	-258.631319	-126.703664
11.2	-266.3338808	-154.47971
11.3	-272.4753365	-184.686741
11.4	-276.769425	-217.371328
11.5	-278.9071245	-252.561811
11.6	-278.5564783	-290.265374
11.7	-275.3626179	-330.464904
11.8	-268.9480306	-373.115631
11.9	-258.913091	-418.141577
12	-244.8368983	-465.431784
12.1	-226.278444	-514.836365
12.2	-202.778163	-566.162364
12.3	-173.859894	-619.169458
12.4	-139.033295	-673.565505
12.5	-97.796753	-729.001981
12.6	-49.640839	-785.069318
12.7	5.947663	-841.292179
12.8	69.481093	-897.124728
12.9	141.465585	-951.945912
13	222.39502	-1,005.054826
13.1	312.744236	-1,055.666223
13.2	412.961398	-1,102.906214
13.3	523.45959	-1,145.808253
13.4	644.60749	-1,183.309479
13.5	776.71913	-1,214.247503
13.6	920.0428	-1,237.357748
13.7	1,074.74885	-1,251.27143
13.8	1,240.91667	-1,254.514324
13.9	1,418.5206	-1,245.506413
14	1,607.41487	-1,222.562572
14.1	1,807.31754	-1,183.894425
14.2	2,017.79361	-1,127.613529
14.3	2,238.23702	-1,051.736042
14.4	2,467.85196	-954.18906
14.5	2,705.63323	-832.81877
14.6	2,950.34604	-685.40064
14.7	3,200.505	-509.65185
14.8	3,454.35279	-303.24607
14.9	3,709.83837	-63.83088
15	3,964.59505	210.951947
15.1	4,215.91859	523.443196
15.2	4,460.745563	875.939724
15.3	4,695.63214	1,270.6645
15.4	4,916.73383	1,709.7332
15.5	5,119.78619	2,195.1165
15.6	5,300.08712	2,728.5991
15.7	5,452.481051	3,311.7341
15.8	5,571.34541	3,945.7931
15.9	5,650.57993	4,631.7119
16	5,683.59932	5,370.0324
16.1	5,663.32978	6,160.8383
16.2	5,582.21007	7,003.6883
16.3	5,432.1977	7,897.5432
16.4	5,204.7812	8,840.6887
16.5	4,890.9984	9,830.655
16.6	4,481.4628	10,864.1308
16.7	3,966.3978	11,936.8743
16.8	3,335.6796	13,043.62038
16.9	2,578.891	14,177.9847
17	1,685.3845	15,332.3655
17.1	644.3592	16,497.8431
17.2	-555.0517	17,664.0782
17.3	-1,923.6781	18,819.2106
17.4	-3,472.1968	19,949.7578
17.5	-5,210.9986	21,040.51552
17.6	-7,150.0396	22,074.46229
17.7	-9,298.6751	23,032.66743
17.8	-11,665.4751	23,894.2061
17.9	-14,258.0206	24,636.08195
18	-17,082.6806	25,233.16015
18.1	-20,144.3681	25,658.1122
18.2	-23,446.2765	25,881.37545
18.3	-26,989.5933	25,871.12994
18.4	-30,773.1939	25,593.29462
18.5	-34,793.313	25,011.5468
18.6	-39,043.197	24,087.3674
18.7	-43,512.731	22,780.1154
18.8	-48,188.055	21,047.1356
18.9	-53,051.149	18,843.9025
19	-58,079.417	16,124.2052
19.1	-63,245.237	12,840.3763
19.2	-68,515.5163	8,943.57
19.3	-73,851.223	4,384.094
19.4	-79,206.9173	-888.2035
19.5	-84,530.2812	-6,923.4813
19.6	-89,761.6428	-13,771.3893
19.7	-94,833.5139	-21,480.4799
19.8	-99,670.1365	-30,097.545
19.9	-104,187.0495	-39,666.8731
20	-108,290.6805	-50,229.423
