x	berv(x)	beiv(x)
-12.2	-3.157198241	29.6732041
-12.1	-1.53520349	27.1106889
-12	-0.1827859	24.6972496
-11.9	0.93140469	22.4338551
-11.8	1.83606749	20.3196799
-11.7	2.557374595	18.3524066
-11.6	3.11910206	16.5284965
-11.5	3.5427658	14.8434295
-11.4	3.84775981	13.2919154
-11.3	4.051495451	11.86808006
-11.2	4.16953921	10.5656272
-11.1	4.21574852	9.37797841
-11	4.20240406	8.29839354
-10.9	4.1403377	7.32007306
-10.8	4.03905548	6.43624423
-10.7	3.906855003	5.64023275
-10.6	3.750936843	4.9255215
-10.5	3.57750978	4.2857977
-10.4	3.39188965	3.71498999
-10.3	3.19859171	3.20729654
-10.2	3.00141665	2.75720546
-10.1	2.80353022	2.35950838
-10	2.60753674	2.00930838
-9.9	2.41554652	1.702022921
-9.8	2.22923761	1.43338269
-9.7	2.049911992	1.199427035
-9.6	1.8785465	0.996496513
-9.5	1.71583885	0.821223286
-9.4	1.562249013	0.670519681
-9.3	1.41803618	0.541565441
-9.2	1.283291758	0.4317940178
-9.1	1.15796858	0.338878216
-9	1.041906666	0.2607154818
-8.9	0.9348558141	0.195413065
-8.8	0.836495309	0.14127325
-8.7	0.746450984	0.096778826
-8.6	0.664309906	0.060578925
-8.5	0.589632908	0.03147533
-8.4	0.521965201	0.008409353
-8.3	0.460845258	-0.0095506736
-8.2	0.4058121726	-0.02322123754
-8.1	0.356411668	-0.0333147904
-8	0.312200917	-0.040450183
-7.9	0.272752327	-0.0451623829
-7.8	0.237656428	-0.047911487
-7.7	0.206523978	-0.0490910329
-7.6	0.1789874122	-0.0490356335
-7.5	0.1547017303	-0.0480279617
-7.4	0.1333449078	-0.0463051074
-7.3	0.1146179211	-0.0440643419
-7.2	0.098244451	-0.041468322
-7.1	0.0839703285	-0.03864977
-7	0.0715627829	-0.0357156574
-6.9	0.0608095292	-0.0327509403
-6.8	0.0515177477	-0.0298218689
-6.7	0.0435129835	-0.0269789116
-6.6	0.0366379978	-0.024259325
-6.5	0.0307515973	-0.0216894019
-6.4	0.02572746014	-0.0192864273
-6.3	0.0214529781	-0.0170603702
-6.2	0.0178281261	-0.0150153396
-6.1	0.0147643717	-0.0131508287
-6	0.01218363188	-0.0114627708
-5.9	0.01001728311	-0.0099444295
-5.8	0.00820522937	-0.0085871416
-5.7	0.00669502992	-0.0073809318
-5.6	0.00544108848	-0.00631501603
-5.5	0.00440390379	-0.00537820727
-5.4	0.003549380498	-0.00455923886
-5.3	0.002848199054	-0.00384701607
-5.2	0.00227524232	-0.00323080766
-5.1	0.00180907634	-0.00270038655
-5	0.001431482339	-0.00224612826
-4.9	0.001127036897	-0.00185907458
-4.8	8.827370376E-4	-0.00153096873
-4.7	6.87666885E-4	-0.00125426787
-4.6	5.327026667E-4	-0.0010221377
-4.5	4.1025279E-4	-8.2843315E-4
-4.4	3.14029851E-4	-6.6766889E-4
-4.3	2.388515679E-4	-5.34982432E-4
-4.2	1.804677602E-4	-4.26092255E-4
-4.1	1.354106604E-4	-3.37253068E-4
-4	1.00866033E-4	-2.65209722E-4
-3.9	7.45627396E-5	-2.0715112E-4
-3.8	5.46785824E-5	-1.60665093E-4
-3.7	3.97604339E-5	-1.23695039E-4
-3.6	2.865684301E-5	-9.4498839E-5
-3.5	2.04614783E-5	-7.16104675E-5
-3.4	1.44659322E-5	-5.38045096E-5
-3.3	1.012056927E-5	-4.00637266E-5
-3.2	7.0022458E-6	-2.95496835E-5
-3.1	4.7878652E-6	-2.15763996E-5
-3	3.23286011E-6	-1.55869179E-5
-2.9	2.15380583E-6	-1.11326461E-5
-2.8	1.41447806E-6	-7.85529545E-6
-2.7	9.14759315E-7	-5.47122204E-6
-2.6	5.81886372E-7	-3.75796437E-6
-2.5	3.63605824E-7	-2.54276775E-6
-2.4	2.22872515E-7	-1.69288727E-6
-2.3	1.337846924E-7	-1.107467284E-6
-2.2	7.8501306E-8	-7.1080457E-7
-2.1	4.49315794E-8	-4.46814115E-7
-2	2.50253497E-8	-2.74529832E-7
-1.9	1.352538175E-8	-1.644869859E-7
-1.8	7.07049651E-9	-9.58477059E-8
-1.7	3.56146883E-9	-5.414605884E-8
-1.6	1.72081448E-9	-2.954354634E-8
-1.5	7.9329117E-10	-1.549989866E-8
-1.4	3.46664484E-10	-7.7771818E-9
-1.3	1.424694449E-10	-3.70746283E-9
-1.2	5.4525437E-11	-1.66546777E-9
-1.1	1.91934965E-11	-6.97771632E-10
-1	6.115829E-12	-2.69050737E-10
-0.9	1.7273304E-12	-9.381983E-11
-0.8	4.202931E-13	-2.889314156E-11
-0.7	8.465524E-14	-7.6013849E-12
-0.6	1.33136E-14	-1.62718222E-12
-0.5	1.493216E-15	-2.62803187E-13
-0.4	1.026133E-16	-2.82185239E-14
-0.3	3.25042E-18	-1.58909084E-15
-0.2	2.50521E-20	-2.75573088E-17
-0.1	6.1162E-24	-2.69114439E-20
0	0	0
0.1	6.1162E-24	-2.69114439E-20
0.2	2.50521E-20	-2.75573088E-17
0.3	3.25042E-18	-1.58909084E-15
0.4	1.026133E-16	-2.82185239E-14
0.5	1.493216E-15	-2.62803187E-13
0.6	1.33136E-14	-1.62718222E-12
0.7	8.465524E-14	-7.6013849E-12
0.8	4.202931E-13	-2.889314156E-11
0.9	1.7273304E-12	-9.381983E-11
1	6.115829E-12	-2.69050737E-10
1.1	1.91934965E-11	-6.97771632E-10
1.2	5.4525437E-11	-1.66546777E-9
1.3	1.424694449E-10	-3.70746283E-9
1.4	3.46664484E-10	-7.7771818E-9
1.5	7.9329117E-10	-1.549989866E-8
1.6	1.72081448E-9	-2.954354634E-8
1.7	3.56146883E-9	-5.414605884E-8
1.8	7.07049651E-9	-9.58477059E-8
1.9	1.352538175E-8	-1.644869859E-7
2	2.50253497E-8	-2.74529832E-7
2.1	4.49315794E-8	-4.46814115E-7
2.2	7.8501306E-8	-7.1080457E-7
2.3	1.337846924E-7	-1.107467284E-6
2.4	2.22872515E-7	-1.69288727E-6
2.5	3.63605824E-7	-2.54276775E-6
2.6	5.81886372E-7	-3.75796437E-6
2.7	9.14759315E-7	-5.47122204E-6
2.8	1.41447806E-6	-7.85529545E-6
2.9	2.15380583E-6	-1.11326461E-5
3	3.23286011E-6	-1.55869179E-5
3.1	4.7878652E-6	-2.15763996E-5
3.2	7.0022458E-6	-2.95496835E-5
3.3	1.012056927E-5	-4.00637266E-5
3.4	1.44659322E-5	-5.38045096E-5
3.5	2.04614783E-5	-7.16104675E-5
3.6	2.865684301E-5	-9.4498839E-5
3.7	3.97604339E-5	-1.23695039E-4
3.8	5.46785824E-5	-1.60665093E-4
3.9	7.45627396E-5	-2.0715112E-4
4	1.00866033E-4	-2.65209722E-4
4.1	1.354106604E-4	-3.37253068E-4
4.2	1.804677602E-4	-4.26092255E-4
4.3	2.388515679E-4	-5.34982432E-4
4.4	3.14029851E-4	-6.6766889E-4
4.5	4.1025279E-4	-8.2843315E-4
4.6	5.327026667E-4	-0.0010221377
4.7	6.87666885E-4	-0.00125426787
4.8	8.827370376E-4	-0.00153096873
4.9	0.001127036897	-0.00185907458
5	0.001431482339	-0.00224612826
5.1	0.00180907634	-0.00270038655
5.2	0.00227524232	-0.00323080766
5.3	0.002848199054	-0.00384701607
5.4	0.003549380498	-0.00455923886
5.5	0.00440390379	-0.00537820727
5.6	0.00544108848	-0.00631501603
5.7	0.00669502992	-0.0073809318
5.8	0.00820522937	-0.0085871416
5.9	0.01001728311	-0.0099444295
6	0.01218363188	-0.0114627708
6.1	0.0147643717	-0.0131508287
6.2	0.0178281261	-0.0150153396
6.3	0.0214529781	-0.0170603702
6.4	0.02572746014	-0.0192864273
6.5	0.0307515973	-0.0216894019
6.6	0.0366379978	-0.024259325
6.7	0.0435129835	-0.0269789116
6.8	0.0515177477	-0.0298218689
6.9	0.0608095292	-0.0327509403
7	0.0715627829	-0.0357156574
7.1	0.0839703285	-0.03864977
7.2	0.098244451	-0.041468322
7.3	0.1146179211	-0.0440643419
7.4	0.1333449078	-0.0463051074
7.5	0.1547017303	-0.0480279617
7.6	0.1789874122	-0.0490356335
7.7	0.206523978	-0.0490910329
7.8	0.237656428	-0.047911487
7.9	0.272752327	-0.0451623829
8	0.312200917	-0.040450183
8.1	0.356411668	-0.0333147904
8.2	0.4058121726	-0.02322123754
8.3	0.460845258	-0.0095506736
8.4	0.521965201	0.008409353
8.5	0.589632908	0.03147533
8.6	0.664309906	0.060578925
8.7	0.746450984	0.096778826
8.8	0.836495309	0.14127325
8.9	0.9348558141	0.195413065
9	1.041906666	0.2607154818
9.1	1.15796858	0.338878216
9.2	1.283291758	0.4317940178
9.3	1.41803618	0.541565441
9.4	1.562249013	0.670519681
9.5	1.71583885	0.821223286
9.6	1.8785465	0.996496513
9.7	2.049911992	1.199427035
9.8	2.22923761	1.43338269
9.9	2.41554652	1.702022921
10	2.60753674	2.00930838
10.1	2.80353022	2.35950838
10.2	3.00141665	2.75720546
10.3	3.19859171	3.20729654
10.4	3.39188965	3.71498999
10.5	3.57750978	4.2857977
10.6	3.750936843	4.9255215
10.7	3.906855003	5.64023275
10.8	4.03905548	6.43624423
10.9	4.1403377	7.32007306
11	4.20240406	8.29839354
11.1	4.21574852	9.37797841
11.2	4.16953921	10.5656272
11.3	4.051495451	11.86808006
11.4	3.84775981	13.2919154
11.5	3.5427658	14.8434295
11.6	3.11910206	16.5284965
11.7	2.557374595	18.3524066
11.8	1.83606749	20.3196799
11.9	0.93140469	22.4338551
12	-0.1827859	24.6972496
12.1	-1.53520349	27.1106889
12.2	-3.157198241	29.6732041
12.3	-5.08288482	32.3816935
12.4	-7.34924238	35.2305479
12.5	-9.99619715	38.2112359
12.6	-13.0666833	41.3118477
12.7	-16.6066776	44.5165953
12.8	-20.6652016	47.805268
12.9	-25.2942872	51.1526397
13	-30.5488969	54.5278293
13.1	-36.4867937	57.8936113
13.2	-43.1683506	61.2056764
13.3	-50.6562939	64.4118435
13.4	-59.0153686	67.4512221
13.5	-68.3119174	70.2533271
13.6	-78.6133624	72.7371487
13.7	-89.987578	74.8101796
13.8	-102.5021432	76.3674046
13.9	-116.223461	77.290258
14	-131.215729	77.4455525
14.1	-147.539752	76.6843973
14.2	-165.251578	74.8411001
14.3	-184.400943	71.7320801
14.4	-205.029515	67.1547967
14.5	-227.168906	60.8867132
14.6	-250.838461	52.68431342
14.7	-276.042788	42.282193
14.8	-302.769016	29.3922486
14.9	-330.983777	13.702993
15	-360.629894	-5.120974
15.1	-391.6227489	-27.439305
15.2	-423.846338	-53.636019
15.3	-457.148995	-84.119342
15.4	-491.338773	-119.32124
15.5	-526.178486	-159.696585
15.6	-561.380405	-205.7219
15.7	-596.600605	-257.89365
15.8	-631.432987	-316.72595
15.9	-665.402959	-382.74771
16	-697.9608261	-456.49909
16.1	-728.474881	-538.5272
16.2	-756.224249	-629.38096
16.3	-780.39152	-729.60503
16.4	-800.055209	-839.73277
16.5	-814.182116	-960.27805
16.6	-821.61965	-1,091.72593
16.7	-821.0882	-1,234.52196
16.8	-811.173632	-1,389.06017
16.9	-790.32009	-1,555.6695
17	-756.82311	-1,734.59869
17.1	-708.82331	-1,925.99946
17.2	-644.30077	-2,129.90787
17.3	-561.07024	-2,346.22388
17.4	-456.77746	-2,574.68883
17.5	-328.8968	-2,814.86098
17.6	-174.73038	-3,066.08891
17.7	8.59091	-3,327.48271
17.8	224.10431	-3,597.88303
17.9	475.00965	-3,875.82786
18	764.66096	-4,159.51711
18.1	1,096.55496	-4,446.77502
18.2	1,474.31595	-4,735.01031
18.3	1,901.67666	-5,021.17449
18.4	2,382.454628	-5,301.71803
18.5	2,920.5236	-5,572.54493
18.6	3,519.7796	-5,828.96571
18.7	4,184.1007	-6,065.64918
18.8	4,917.3003	-6,276.57321
18.9	5,723.0736	-6,454.97512
19	6,604.9359	-6,593.30193
19.1	7,566.1527	-6,683.161164
19.2	8,609.6609	-6,715.272806
19.3	9,737.9803	-6,679.42317
19.4	10,953.1154	-6,564.42147
19.5	12,256.4453	-6,358.06008
19.6	13,648.6042	-6,047.07955
19.7	15,129.3477	-5,617.13947
19.8	16,697.4089	-5,052.79663
19.9	18,350.34026	-4,337.49181
20	20,084.3432	-3,453.5469
