  k =       -1.00000000000000
                      u                     f1                     f2                  delta                   frac
       1.40000000000000      0.885351648202263      0.885351648202263       0.00000000000000       0.00000000000000
       1.50000000000000      0.905148253644866      0.905148253644866       0.00000000000000       0.00000000000000
       1.60000000000000      0.921668554406471      0.921668554406471   1.11022302462516e-16   1.20457947633909e-16
       1.70000000000000      0.935409070603099      0.935409070603099   1.11022302462516e-16   1.18688503192443e-16
       1.80000000000000      0.946806012846268      0.946806012846268  -1.11022302462516e-16  -1.17259819811202e-16
       1.90000000000000      0.956237458127739      0.956237458127739       0.00000000000000       0.00000000000000
       2.00000000000000      0.964027580075817      0.964027580075817  -1.11022302462516e-16  -1.15165068673434e-16
       2.10000000000000      0.970451936613454      0.970451936613454       0.00000000000000       0.00000000000000
       2.20000000000000      0.975743130031452      0.975743130031452       0.00000000000000       0.00000000000000
       2.30000000000000      0.980096396266191      0.980096396266191   1.11022302462516e-16   1.13276921418618e-16
       2.40000000000000      0.983674857693680      0.983674857693680  -2.22044604925031e-16  -2.25729673975440e-16
       2.50000000000000      0.986614298151430      0.986614298151430  -1.11022302462516e-16  -1.12528576436134e-16
       2.60000000000000      0.989027402201099      0.989027402201099  -1.11022302462516e-16  -1.12254020682777e-16
       2.70000000000000      0.991007453678118      0.991007453678118       0.00000000000000       0.00000000000000
       2.80000000000000      0.992631520201128      0.992631520201128   2.22044604925031e-16   2.23692881402799e-16
       2.90000000000000      0.993963167350583      0.993963167350583  -1.11022302462516e-16  -1.11696596120806e-16
       3.00000000000000      0.995054753686730      0.995054753686730  -1.11022302462516e-16  -1.11574063689633e-16
       3.10000000000000      0.995949359221900      0.995949359221900  -1.11022302462516e-16  -1.11473842956487e-16
       3.20000000000000      0.996682397839651      0.996682397839651       0.00000000000000       0.00000000000000
       3.30000000000000      0.997282960099142      0.997282960099142   1.11022302462516e-16   1.11324776321736e-16
       3.40000000000000      0.997774927934279      0.997774927934279   1.11022302462516e-16   1.11269885977560e-16
       3.50000000000000      0.998177897611199      0.998177897611199   1.11022302462516e-16   1.11224965738282e-16
       3.60000000000000      0.998507942332327      0.998507942332327       0.00000000000000       0.00000000000000
       3.70000000000000      0.998778241281131      0.998778241281131       0.00000000000000       0.00000000000000
       3.80000000000000      0.998999597785841      0.998999597785841       0.00000000000000       0.00000000000000
       3.90000000000000      0.999180865670028      0.999180865670028  -1.11022302462516e-16  -1.11113319196787e-16
       4.00000000000000      0.999329299739067      0.999329299739067       0.00000000000000       0.00000000000000
       4.10000000000000      0.999450843687797      0.999450843687797  -2.22044604925031e-16  -2.22166609120791e-16
       4.20000000000000      0.999550366459534      0.999550366459533   1.11022302462516e-16   1.11072244268954e-16
       4.30000000000000      0.999631856190073      0.999631856190073  -1.11022302462516e-16  -1.11063189688310e-16
       4.40000000000000      0.999698579283881      0.999698579283881   1.11022302462516e-16   1.11055776974340e-16
       4.50000000000000      0.999753210848027      0.999753210848027       0.00000000000000       0.00000000000000
       4.60000000000000      0.999797941612184      0.999797941612184  -1.11022302462516e-16  -1.11044739983652e-16
       4.70000000000000      0.999834565554297      0.999834565554297       0.00000000000000       0.00000000000000
       4.80000000000000      0.999864551700760      0.999864551700760  -1.11022302462516e-16  -1.11037342281680e-16
       4.90000000000000      0.999889102950554      0.999889102950554  -2.22044604925031e-16  -2.22069231747605e-16
       5.00000000000000      0.999909204262595      0.999909204262595   1.11022302462516e-16   1.11032383729672e-16
max(abs(diff)) = 2.22044604925031e-16
max(abs(frac)) = 4.13452721256628e-16

  k =      -0.900000000000000
                      u                     f1                     f2                  delta                   frac
      -5.00000000000000      0.415044370373809      0.415044370373813  -3.71924713249427e-15  -8.96108319489916e-15
      -4.90000000000000      0.327624215812178      0.327624215812182  -4.05231403988182e-15  -1.23687866900684e-14
      -4.80000000000000      0.234871031413734      0.234871031413738  -3.99680288865056e-15  -1.70170108446025e-14
      -4.70000000000000      0.138098839192488      0.138098839192492  -4.02455846426619e-15  -2.91425944475643e-14
      -4.60000000000000     0.0388839731709494     0.0388839731709527  -3.27515792264421e-15  -8.42289934787537e-14
      -4.50000000000000    -0.0610295648467211    -0.0610295648467173  -3.76781938982163e-15   6.17376086374683e-14
      -4.40000000000000     -0.159848671155093     -0.159848671155090  -3.55271367880050e-15   2.22254814702435e-14
      -4.30000000000000     -0.255856931766434     -0.255856931766430  -3.38618022510673e-15   1.32346628317967e-14
      -4.20000000000000     -0.347529171696275     -0.347529171696273  -2.38697950294409e-15   6.86842917759496e-15
      -4.10000000000000     -0.433619038140877     -0.433619038140875  -1.99840144432528e-15   4.60865706656550e-15
      -4.00000000000000     -0.513210164587494     -0.513210164587492  -1.99840144432528e-15   3.89392413131871e-15
      -3.90000000000000     -0.585729124591996     -0.585729124591994  -1.44328993201270e-15   2.46409111552728e-15
      -3.80000000000000     -0.650925138594020     -0.650925138594019  -1.44328993201270e-15   2.21729020195805e-15
      -3.70000000000000     -0.708825785527365     -0.708825785527364  -1.33226762955019e-15   1.87954171074488e-15
