  x =        1.00000000000000
                      y                     f1                     f2                  delta                   frac
<<<<<<< ours
       40.0000000000000     0.0250000000000005     0.0250000000000000   4.99600361081320e-16   1.99840144432528e-14
       41.0000000000000     0.0243902439024392     0.0243902439024390   1.49186218934005e-16   6.11663497629422e-15
       42.0000000000000     0.0238095238095243     0.0238095238095238   4.75314232417645e-16   1.99631977615411e-14
       43.0000000000000     0.0232558139534885     0.0232558139534884   1.73472347597681e-16   7.45931094670027e-15
       44.0000000000000     0.0227272727272731     0.0227272727272727   3.60822483003176e-16   1.58761892521397e-14
       45.0000000000000     0.0222222222222229     0.0222222222222222   6.73072708679001e-16   3.02882718905551e-14
       46.0000000000000     0.0217391304347824     0.0217391304347826  -1.94289029309402e-16  -8.93729534823251e-15
       47.0000000000000     0.0212765957446808     0.0212765957446809  -9.02056207507940e-17  -4.23966417528732e-15
       48.0000000000000     0.0208333333333338     0.0208333333333333   4.85722573273506e-16   2.33146835171283e-14
       49.0000000000000     0.0204081632653058     0.0204081632653061  -3.71230823859037e-16  -1.81903103690928e-14
       50.0000000000000     0.0200000000000004     0.0200000000000000   4.09394740330526e-16   2.04697370165263e-14
       51.0000000000000     0.0196078431372549     0.0196078431372549       0.00000000000000       0.00000000000000
       52.0000000000000     0.0192307692307688     0.0192307692307692  -4.78783679369599e-16  -2.48967513272191e-14
       53.0000000000000     0.0188679245283022     0.0188679245283019   3.67761376907083e-16   1.94913529760754e-14
       54.0000000000000     0.0185185185185186     0.0185185185185185   9.71445146547012e-17   5.24580379135386e-15
       55.0000000000000     0.0181818181818180     0.0181818181818182  -2.28983498828939e-16  -1.25940924355916e-14
       56.0000000000000     0.0178571428571431     0.0178571428571428   2.53269627492614e-16   1.41830991395864e-14
       57.0000000000000     0.0175438596491227     0.0175438596491228  -1.11022302462516e-16  -6.32827124036339e-15
       58.0000000000000     0.0172413793103445     0.0172413793103448  -3.08780778723872e-16  -1.79092851659845e-14
       59.0000000000000     0.0169491525423733     0.0169491525423729   3.74700270810990e-16   2.21073159778484e-14
       60.0000000000000     0.0166666666666664     0.0166666666666667  -3.08780778723872e-16  -1.85268467234323e-14
       61.0000000000000     0.0163934426229510     0.0163934426229508   2.04697370165263e-16   1.24865395800811e-14
       62.0000000000000     0.0161290322580642     0.0161290322580645  -2.84494650060196e-16  -1.76386683037322e-14
       63.0000000000000     0.0158730158730163     0.0158730158730159   3.64291929955129e-16   2.29503915871731e-14
       64.0000000000000     0.0156249999999998     0.0156250000000000  -1.96023752785379e-16  -1.25455201782643e-14
       65.0000000000000     0.0153846153846152     0.0153846153846154  -1.49186218934005e-16  -9.69710423071035e-15
       66.0000000000000     0.0151515151515152     0.0151515151515151   9.36750677027476e-17   6.18255446838134e-15
       67.0000000000000     0.0149253731343285     0.0149253731343283   1.85615411929518e-16   1.24362325992777e-14
       68.0000000000000     0.0147058823529411     0.0147058823529412  -9.19403442267708e-17  -6.25194340742041e-15
       69.0000000000000     0.0144927536231883     0.0144927536231884  -7.80625564189563e-17  -5.38631639290798e-15
       70.0000000000000     0.0142857142857143     0.0142857142857143   1.38777878078145e-17   9.71445146547012e-16
       71.0000000000000     0.0140845070422536     0.0140845070422535   1.24900090270330e-16   8.86790640919345e-15
       72.0000000000000     0.0138888888888889     0.0138888888888889  -1.21430643318376e-17  -8.74300631892311e-16
       73.0000000000000     0.0136986301369864     0.0136986301369863   7.28583859910259e-17   5.31866217734489e-15
       74.0000000000000     0.0135135135135135     0.0135135135135135  -4.85722573273506e-17  -3.59434704222394e-15
       75.0000000000000     0.0133333333333333     0.0133333333333333  -4.68375338513738e-17  -3.51281503885303e-15
       76.0000000000000     0.0131578947368419     0.0131578947368421  -1.52655665885959e-16  -1.16018306073329e-14
       77.0000000000000     0.0129870129870129     0.0129870129870130  -4.51028103753970e-17  -3.47291639890557e-15
       78.0000000000000     0.0128205128205133     0.0128205128205128   4.66640615037761e-16   3.63979679729454e-14
       79.0000000000000     0.0126582278481011     0.0126582278481013  -1.45716771982052e-16  -1.15116249865821e-14
       80.0000000000000     0.0125000000000000     0.0125000000000000   4.33680868994202e-17   3.46944695195361e-15
       81.0000000000000     0.0123456790123458     0.0123456790123457   1.31838984174237e-16   1.06789577181132e-14
