

#                      t                     Gi                    Gip                     Hi                    Hip
#              =========              =========              =========              =========              =========
 -1.914000000000000e+01  2.528267264193648e-01  5.180149059563867e-02  1.658317409059731e-02  8.639361346801563e-04
 -1.913000000000000e+01  2.530867341769344e-01  1.971529799286691e-04  1.659176829647232e-02  8.648318117222006e-04
 -1.912000000000000e+01  2.528305890994811e-01 -5.138223512218486e-02  1.660037133614755e-02  8.657288740964673e-04
 -1.911000000000000e+01  2.520590341413128e-01 -1.028380315763229e-01  1.660898322308236e-02  8.666273246393261e-04
 -1.910000000000000e+01  2.507737971715758e-01 -1.540719851103211e-01  1.661760397076300e-02  8.675271661943369e-04
 -1.909000000000000e+01  2.489775861283073e-01 -2.049864225226745e-01  1.662623359270269e-02  8.684284016122747e-04
 -1.908000000000000e+01  2.466740823075340e-01 -2.554844342959682e-01  1.663487210244168e-02  8.693310337511477e-04
 -1.907000000000000e+01  2.438679318050987e-01 -3.054700582654953e-01  1.664351951354731e-02  8.702350654762221e-04
 -1.906000000000000e+01  2.405647351324501e-01 -3.548484609961781e-01  1.665217583961411e-02  8.711404996600431e-04
 -1.905000000000000e+01  2.367710350309608e-01 -4.035261165288908e-01  1.666084109426383e-02  8.720473391824559e-04
 -1.904000000000000e+01  2.324943025127832e-01 -4.514109821617897e-01  1.666951529114552e-02  8.729555869306287e-04
 -1.903000000000000e+01  2.277429211595468e-01 -4.984126709395911e-01  1.667819844393559e-02  8.738652457990743e-04
 -1.902000000000000e+01  2.225261697134755e-01 -5.444426205310927e-01  1.668689056633791e-02  8.747763186896724e-04
 -1.901000000000000e+01  2.168542029984387e-01 -5.894142581851495e-01  1.669559167208381e-02  8.756888085116916e-04
 -1.900000000000000e+01  2.107380312119197e-01 -6.332431614601289e-01  1.670430177493224e-02  8.766027181818129e-04
 -1.899000000000000e+01  2.041894976314898e-01 -6.758472144348886e-01  1.671302088866974e-02  8.775180506241498e-04
 -1.898000000000000e+01  1.972212547824143e-01 -7.171467591172174e-01  1.672174902711057e-02  8.784348087702726e-04
 -1.897000000000000e+01  1.898467391159349e-01 -7.570647417753166e-01  1.673048620409677e-02  8.793529955592307e-04
 -1.896000000000000e+01  1.820801442501413e-01 -7.955268539306003e-01  1.673923243349821e-02  8.802726139375746e-04
 -1.895000000000000e+01  1.739363928282723e-01 -8.324616677589827e-01  1.674798772921269e-02  8.811936668593791e-04
 -1.894000000000000e+01  1.654311070514852e-01 -8.678007656610629e-01  1.675675210516595e-02  8.821161572862651e-04
 -1.893000000000000e+01  1.565805779456326e-01 -9.014788637727081e-01  1.676552557531180e-02  8.830400881874249e-04
 -1.892000000000000e+01  1.474017334236533e-01 -9.334339292005776e-01  1.677430815363216e-02  8.839654625396417e-04
 -1.891000000000000e+01  1.379121052074637e-01 -9.636072907791130e-01  1.678309985413716e-02  8.848922833273159e-04
 -1.890000000000000e+01  1.281297946751406e-01 -9.919437431589698e-01  1.679190069086513e-02  8.858205535424854e-04
 -1.889000000000000e+01  1.180734377008672e-01 -1.018391644050676e+00  1.680071067788277e-02  8.867502761848505e-04
 -1.888000000000000e+01  1.077621685569431e-01 -1.042903004460415e+00  1.680952982928515e-02  8.876814542617974e-04
 -1.887000000000000e+01  9.721558294895280e-02 -1.065433571768305e+00  1.681835815919580e-02  8.886140907884197e-04
 -1.886000000000000e+01  8.645370025600341e-02 -1.085942905515202e+00  1.682719568176682e-02  8.895481887875439e-04
 -1.885000000000000e+01  7.549692504993785e-02 -1.104394445776611e+00  1.683604241117887e-02  8.904837512897511e-04
 -1.884000000000000e+01  6.436600796784989e-02 -1.120755574018368e+00  1.684489836164130e-02  8.914207813334026e-04
 -1.883000000000000e+01  5.308200601400451e-02 -1.134997666341882e+00  1.685376354739221e-02  8.923592819646613e-04
 -1.882000000000000e+01  4.166624236728403e-02 -1.147096139042988e+00  1.686263798269850e-02  8.932992562375167e-04
 -1.881000000000000e+01  3.014026577160907e-02 -1.157030486422169e+00  1.687152168185600e-02  8.942407072138092e-04
 -1.880000000000000e+01  1.852580958699011e-02 -1.164784310799357e+00  1.688041465918944e-02  8.951836379632528e-04
 -1.879000000000000e+01  6.844750579407009e-03 -1.170345344701270e+00  1.688931692905261e-02  8.961280515634603e-04
 -1.878000000000000e+01 -4.880932472052544e-03 -1.173705465204212e+00  1.689822850582843e-02  8.970739510999654e-04
 -1.877000000000000e+01 -1.662920027249893e-02 -1.174860700430218e+00  1.690714940392894e-02  8.980213396662501e-04
 -1.876000000000000e+01 -2.837799453429058e-02 -1.173811228209039e+00  1.691607963779545e-02  8.989702203637655e-04
 -1.875000000000000e+01 -4.010527944766008e-02 -1.170561366933496e+00  1.692501922189861e-02  8.999205963019583e-04
 -1.874000000000000e+01 -5.178908302128606e-02 -1.165119558650120e+00  1.693396817073843e-02  9.008724705982953e-04
 -1.873000000000000e+01 -6.340753821494444e-02 -1.157498344441665e+00  1.694292649884441e-02  9.018258463782855e-04
 -1.872000000000000e+01 -7.493892378785674e-02 -1.147714332172286e+00  1.695189422077556e-02  9.027807267755083e-04
 -1.871000000000000e+01 -8.636170478665232e-02 -1.135788156680286e+00  1.696087135112052e-02  9.037371149316344e-04
 -1.870000000000000e+01 -9.765457259770230e-02 -1.121744432517494e+00  1.696985790449762e-02  9.046950139964547e-04
 -1.869000000000000e+01 -1.087964844901265e-01 -1.105611699347530e+00  1.697885389555492e-02  9.056544271279004e-04
 -1.868000000000000e+01 -1.197667025763772e-01 -1.087422360129140e+00  1.698785933897036e-02  9.066153574920727e-04
 -1.867000000000000e+01 -1.305448321190534e-01 -1.067212612223515e+00  1.699687424945172e-02  9.075778082632636e-04
 -1.866000000000000e+01 -1.411108591139746e-01 -1.045022371577232e+00  1.700589864173683e-02  9.085417826239844e-04
 -1.865000000000000e+01 -1.514451870807844e-01 -1.020895190145578e+00  1.701493253059353e-02  9.095072837649890e-04
 -1.864000000000000e+01 -1.615286729946982e-01 -9.948781667319251e-01  1.702397593081979e-02  9.104743148852987e-04
 -1.863000000000000e+01 -1.713426622941734e-01 -9.670218514317402e-01  1.703302885724382e-02  9.114428791922303e-04
 -1.862000000000000e+01 -1.808690229017238e-01 -9.373801438800700e-01  1.704209132472406e-02  9.124129799014185e-04
 -1.861000000000000e+01 -1.900901781967177e-01 -9.060101855132788e-01  1.705116334814935e-02  9.133846202368431e-04
 -1.860000000000000e+01 -1.989891388815784e-01 -8.729722460651185e-01  1.706024494243895e-02  9.143578034308542e-04
 -1.859000000000000e+01 -2.075495336847289e-01 -8.383296045280810e-01  1.706933612254261e-02  9.153325327241983e-04
