

#                      x                    ber                    bei                    ker                    kei              Wronskian
#              =========              =========              =========              =========              =========
  1.060000000000000e+00  1.195575265807737e+00  3.418406732494084e-01                    nan                    nan
  1.070000000000000e+00  1.191820131114666e+00  3.474650216032191e-01                    nan                    nan
  1.080000000000000e+00  1.187998212451875e+00  3.531039465236788e-01                    nan                    nan
  1.090000000000000e+00  1.184110635166829e+00  3.587566027161844e-01                    nan                    nan
  1.100000000000000e+00  1.180158496050281e+00  3.644221498472521e-01                    nan                    nan
  1.110000000000000e+00  1.176142864262716e+00  3.700997526174926e-01                    nan                    nan
  1.120000000000000e+00  1.172064782227862e+00  3.757885808307549e-01                    nan                    nan
  1.130000000000000e+00  1.167925266494720e+00  3.814878094595712e-01                    nan                    nan
  1.140000000000000e+00  1.163725308569483e+00  3.871966187070356e-01                    nan                    nan
  1.150000000000000e+00  1.159465875718650e+00  3.929141940652365e-01                    nan                    nan
  1.160000000000000e+00  1.155147911744543e+00  3.986397263703697e-01                    nan                    nan
  1.170000000000000e+00  1.150772337734420e+00  4.043724118546398e-01                    nan                    nan
  1.180000000000000e+00  1.146340052784256e+00  4.101114521950722e-01                    nan                    nan
  1.190000000000000e+00  1.141851934698267e+00  4.158560545593369e-01                    nan                    nan
  1.200000000000000e+00  1.137308840665142e+00  4.216054316486911e-01                    nan                    nan
  1.210000000000000e+00  1.132711607911954e+00  4.273588017381456e-01                    nan                    nan
  1.220000000000000e+00  1.128061054336611e+00  4.331153887139473e-01                    nan                    nan
  1.230000000000000e+00  1.123357979119729e+00  4.388744221084773e-01                    nan                    nan
  1.240000000000000e+00  1.118603163316718e+00  4.446351371326545e-01                    nan                    nan
  1.250000000000000e+00  1.113797370430848e+00  4.503967747059328e-01                    nan                    nan
  1.260000000000000e+00  1.108941346968039e+00  4.561585814839801e-01                    nan                    nan
  1.270000000000000e+00  1.104035822974058e+00  4.619198098841194e-01                    nan                    nan
  1.280000000000000e+00  1.099081512554797e+00  4.676797181086133e-01                    nan                    nan
  1.290000000000000e+00  1.094079114380258e+00  4.734375701658718e-01                    nan                    nan
  1.300000000000000e+00  1.089029312172851e+00  4.791926358896550e-01                    nan                    nan
  1.310000000000000e+00  1.083932775180578e+00  4.849441909563456e-01                    nan                    nan
  1.320000000000000e+00  1.078790158635651e+00  4.906915169003614e-01                    nan                    nan
  1.330000000000000e+00  1.073602104199076e+00  4.964339011277774e-01                    nan                    nan
  1.340000000000000e+00  1.068369240391688e+00  5.021706369282181e-01                    nan                    nan
  1.350000000000000e+00  1.063092183012130e+00  5.079010234850927e-01                    nan                    nan
  1.360000000000000e+00  1.057771535542226e+00  5.136243658842274e-01                    nan                    nan
  1.370000000000000e+00  1.052407889540186e+00  5.193399751209574e-01                    nan                    nan
  1.380000000000000e+00  1.047001825022061e+00  5.250471681057384e-01                    nan                    nan
  1.390000000000000e+00  1.041553910831850e+00  5.307452676683303e-01                    nan                    nan
  1.400000000000000e+00  1.036064705000636e+00  5.364336025606106e-01                    nan                    nan
  1.410000000000000e+00  1.030534755095134e+00  5.421115074580680e-01                    nan                    nan
  1.420000000000000e+00  1.024964598555978e+00  5.477783229600296e-01                    nan                    nan
