

                         x                       ber                       bei                       ker                       kei                 Wronskian
  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00                      -nan                      -nan
  8.400000000000000000e-01  1.258580100844642947e+00  2.235603993075555283e-01 -7.682225745616596928e-01 -8.477746744220923264e-01
  8.500000000000000000e-01  1.256651162114496310e+00  2.286413835877057178e-01 -7.901428009071201237e-01 -8.568665477422592676e-01
  8.600000000000000000e-01  1.254621038386758390e+00  2.337565894635540943e-01 -8.122175453196147840e-01 -8.660268219181363860e-01
  8.700000000000000000e-01  1.252491809929589142e+00  2.389050907805869125e-01 -8.344467091944241658e-01 -8.752577274276992989e-01
  8.800000000000000000e-01  1.250265495318987369e+00  2.440859634251919165e-01 -8.568301809484820703e-01 -8.845615197247552053e-01
  8.900000000000000000e-01  1.247944053717081462e+00  2.492982855283643895e-01 -8.793678351276766143e-01 -8.939404798143000863e-01
  9.000000000000000000e-01  1.245529387047702320e+00  2.545411376609168861e-01 -9.020595315242266757e-01 -9.033969148114872897e-01
  9.100000000000000000e-01  1.243023342075095695e+00  2.598136030205052947e-01 -9.249051143024418303e-01 -9.129331584851214280e-01
  9.200000000000000000e-01  1.240427712391227883e+00  2.651147676107708672e-01 -9.479044111312946224e-01 -9.225515717865154701e-01
  9.300000000000000000e-01  1.237744240316767456e+00  2.704437204128855158e-01 -9.710572323223437321e-01 -9.322545433644789000e-01
  9.400000000000000000e-01  1.234974618720483761e+00  2.757995535497759712e-01 -9.943633699716464137e-01 -9.420444900671402903e-01
  9.500000000000000000e-01  1.232120492761487546e+00  2.811813624432912910e-01 -1.017822597104389420e+00 -9.519238574312480899e-01
  9.600000000000000000e-01  1.229183461558447999e+00  2.865882459645676437e-01 -1.041434666821050362e+00 -9.618951201595383832e-01
  9.700000000000000000e-01  1.226165079789651633e+00  2.920193065778342630e-01 -1.065199311443976885e+00 -9.719607825867074581e-01
  9.800000000000000000e-01  1.223066859227519808e+00  2.974736504778949183e-01 -1.089116241663339837e+00 -9.821233791344798123e-01
  9.900000000000000000e-01  1.219890270210971646e+00  3.029503877215101593e-01 -1.113185145681479392e+00 -9.923854747562184391e-01
  1.000000000000000000e+00  1.216636743058806007e+00  3.084486323528969381e-01 -1.137405688354720484e+00 -1.002749665371483530e+00
  1.010000000000000000e+00  1.213307669427078690e+00  3.139675025235539610e-01 -1.161777510331786270e+00 -1.013218578290907859e+00
  1.020000000000000000e+00  1.209904403613267799e+00  3.195061206066132571e-01 -1.186300227187986317e+00 -1.023794872631721816e+00
  1.030000000000000000e+00  1.206428263809850122e+00  3.250636133059109431e-01 -1.210973428554400038e+00 -1.034481239724228115e+00
  1.040000000000000000e+00  1.202880533309753298e+00  3.306391117599629983e-01 -1.235796677241316028e+00 -1.045280403509495395e+00
  1.050000000000000000e+00  1.199262461666001614e+00  3.362317516410250202e-01 -1.260769508355224713e+00 -1.056195120928511128e+00
  1.060000000000000000e+00  1.195575265807736501e+00  3.418406732494083845e-01 -1.285891428408695393e+00 -1.067228182303007197e+00
  1.070000000000000000e+00  1.191820131114665468e+00  3.474650216032189836e-01 -1.311161914422499579e+00 -1.078382411708146119e+00
  1.080000000000000000e+00  1.187998212451874549e+00  3.531039465236787296e-01 -1.336580413019370845e+00 -1.089660667337232028e+00
  1.090000000000000000e+00  1.184110635166828653e+00  3.587566027161842770e-01 -1.362146339508817293e+00 -1.101065841858588015e+00
  1.100000000000000000e+00  1.180158496050280983e+00  3.644221498472519428e-01 -1.387859076962426536e+00 -1.112600862764720180e+00
  1.110000000000000000e+00  1.176142864262716209e+00  3.700997526174925356e-01 -1.413717975279124903e+00 -1.124268692713868701e+00
  1.120000000000000000e+00  1.172064782227862010e+00  3.757885808307547754e-01 -1.439722350239872543e+00 -1.136072329864027171e+00
  1.130000000000000000e+00  1.167925266494719332e+00  3.814878094595711521e-01 -1.465871482551294497e+00 -1.148014808199493428e+00
  1.140000000000000000e+00  1.163725308569482866e+00  3.871966187070354344e-01 -1.492164616877764594e+00 -1.160099197849997964e+00
  1.150000000000000000e+00  1.159465875718649459e+00  3.929141940652365960e-01 -1.518600960861474488e+00 -1.172328605402439619e+00
  1.160000000000000000e+00  1.155147911744543010e+00  3.986397263703696527e-01 -1.545179684130034288e+00 -1.184706174205242756e+00
  1.170000000000000000e+00  1.150772337734419613e+00  4.043724118546398005e-01 -1.571899917291164236e+00 -1.197235084665335124e+00
  1.180000000000000000e+00  1.146340052784255877e+00  4.101114521950723067e-01 -1.598760750914048747e+00 -1.209918554537731427e+00
  1.190000000000000000e+00  1.141851934698266341e+00  4.158560545593368107e-01 -1.625761234496935061e+00 -1.222759839207693891e+00
  1.200000000000000000e+00  1.137308840665142281e+00  4.216054316486910496e-01 -1.652900375420568705e+00 -1.235762231965427957e+00
  1.210000000000000000e+00  1.132711607911953886e+00  4.273588017381455199e-01 -1.680177137887067124e+00 -1.248929064273258554e+00
  1.220000000000000000e+00  1.128061054336610461e+00  4.331153887139472054e-01 -1.707590441843841160e+00 -1.262263706025220192e+00
  1.230000000000000000e+00  1.123357979119728748e+00  4.388744221084772623e-01 -1.735139161892181733e+00 -1.275769565798982222e+00
  1.240000000000000000e+00  1.118603163316717615e+00  4.446351371326544149e-01 -1.762822126180136021e+00 -1.289450091100019231e+00
  1.250000000000000000e+00  1.113797370430847856e+00  4.503967747059328108e-01 -1.790638115279303788e+00 -1.303308768597925322e+00
  1.260000000000000000e+00  1.108941346968038695e+00  4.561585814839801729e-01 -1.818585861045190336e+00 -1.317349124354760273e+00
  1.270000000000000000e+00  1.104035822974057534e+00  4.619198098841192920e-01 -1.846664045460757776e+00 -1.331574724045304980e+00
  1.280000000000000000e+00  1.099081512554796426e+00  4.676797181086132011e-01 -1.874871299462821145e+00 -1.345989173169093316e+00
  1.290000000000000000e+00  1.094079114380257578e+00  4.734375701658717707e-01 -1.903206201750940195e+00 -1.360596117254077459e+00
  1.300000000000000000e+00  1.089029312172850728e+00  4.791926358896549532e-01 -1.931667277578461630e+00 -1.375399242051773877e+00
  1.310000000000000000e+00  1.083932775180577428e+00  4.849441909563454789e-01 -1.960252997525370101e+00 -1.390402273723727476e+00
  1.320000000000000000e+00  1.078790158635650992e+00  4.906915169003614672e-01 -1.988961776252609443e+00 -1.405608979019121917e+00
  1.330000000000000000e+00  1.073602104199075983e+00  4.964339011277771579e-01 -2.017791971237538530e+00 -1.421023165443354700e+00
  1.340000000000000000e+00  1.068369240391687645e+00  5.021706369282177835e-01 -2.046741881490188658e+00 -1.436648681417386409e+00
  1.350000000000000000e+00  1.063092183012129392e+00  5.079010234850924967e-01 -2.075809746249991649e+00 -1.452489416427664362e+00
  1.360000000000000000e+00  1.057771535542225447e+00  5.136243658842272291e-01 -2.104993743662649904e+00 -1.468549301166411871e+00
  1.370000000000000000e+00  1.052407889540185708e+00  5.193399751209573903e-01 -2.134291989436821393e+00 -1.484832307662065393e+00
  1.380000000000000000e+00  1.047001825022061071e+00  5.250471681057384081e-01 -2.163702535480294155e+00 -1.501342449399632962e+00
  1.390000000000000000e+00  1.041553910831849468e+00  5.307452676683302771e-01 -2.193223368515326218e+00 -1.518083781430738465e+00
