

Print Kelvin functions computed by series expansions
                      x                 ber(x)                 bei(x)                 ker(x)                 kei(x)                ber'(x)                bei'(x)                ker'(x)                kei'(x)
  7.000000000000000e+00 -3.632930242507911e+00 -2.123940257957219e+01  1.922021568667276e-03  2.700365107603631e-03  1.276452256032012e+01 -1.604148888823911e+01  4.205094673608301e-04 -3.459508640982989e-03
  7.100000000000001e+00 -2.257144279974195e+00 -2.284807859689342e+01  1.950901282327777e-03  2.366485551489550e-03  1.477372317399486e+01 -1.610948328016086e+01  1.632671937716879e-04 -3.218284530536408e-03
  7.200000000000000e+00 -6.736953790976546e-01 -2.445647979724488e+01  1.955861182931784e-03  2.056629106174324e-03  1.691758463271096e+01 -1.603285571400637e+01 -5.838677359371047e-05 -2.979420570103031e-03
  7.300000000000001e+00  1.130799652671528e+00 -2.604918363926927e+01  1.940311709375919e-03  1.770453686112616e-03  1.919420434195389e+01 -1.579220715098648e+01 -2.474037276520846e-04 -2.744977635789070e-03
  7.400000000000000e+00  3.169457311623700e+00 -2.760877052304843e+01  1.907373376081267e-03  1.507428691446933e-03  2.160012053480046e+01 -1.536700078771817e+01 -4.066285521737711e-04 -2.516670944178401e-03
  7.500000000000000e+00  5.454962184384361e+00 -2.911571186716797e+01  1.859888055115277e-03  1.266867863913390e-03  2.413012470970028e+01 -1.473560173258877e+01 -5.387874114592961e-04 -2.295903932441945e-03
  7.600000000000001e+00  7.999382494360614e+00 -3.054826296450831e+01  1.800431340015507e-03  1.047958852914199e-03  2.677706447247077e+01 -1.387533320002740e+01 -6.464783792594631e-04 -2.083800158391824e-03
  7.700000000000000e+00  1.081396547597425e+01 -3.188236235878616e+01  1.731325713510756e-03  8.497896914398950e-04  2.953163736025785e+01 -1.276255104117263e+01 -7.321646675393367e-04 -1.881233213541833e-03
  7.800000000000001e+00  1.390891171092547e+01 -3.309153966976501e+01  1.654654275910161e-03  6.713723794824489e-04  3.238217639879834e+01 -1.137273850925758e+01 -7.981701387862472e-04 -1.688854662400985e-03
  7.900000000000000e+00  1.729312764527714e+01 -3.414683398857354e+01  1.572274820357933e-03  5.116637706699123e-04  3.531442833556208e+01 -9.680623230408482e+00 -8.466768124328894e-04 -1.507120035068255e-03
  8.000000000000000e+00  2.097395561073025e+01 -3.501672516488149e+01  1.485834068496672e-03  3.695839561324021e-04  3.831132570089801e+01 -7.660318413649805e+00 -8.797240991711419e-04 -1.336312914858695e-03
  8.100000000000000e+00  2.495688079993353e+01 -3.566708051375509e+01  1.396781907118338e-03  2.440323317358661e-04  4.135275407770988e+01 -5.285490385745951e+00 -8.992095197841721e-04 -1.176567172592513e-03
  8.200000000000001e+00  2.924521479594637e+01 -3.606111968061985e+01  1.306385487549022e-03  1.339015330721338e-04  4.441531620789187e+01 -2.529554574918140e+00 -9.068906864531101e-04 -1.027887408028505e-03
  8.300000000000001e+00  3.383975543199858e+01 -3.615940061643589e+01  1.215743072304321e-03  3.808941234595409e-05  4.747209483107629e+01  6.340979098827829e-01 -9.043883451333445e-04 -8.901676671513314e-04
  8.400000000000000e+00  3.873842296143614e+01 -3.591982983023926e+01  1.125797532640860e-03 -4.449077288626313e-05  5.049241643834500e+01  4.231840953125373e+00 -8.931902979711914e-04 -7.632085092836860e-04
  8.500000000000000e+00  4.393587275118545e+01 -3.529770030065938e+01  1.037349416229461e-03 -1.149017987600587e-04  5.344161843041829e+01  8.289519225905977e+00 -8.746560394143899e-04 -6.467325017638359e-04
  8.600000000000000e+00  4.942308497717931e+01 -3.424576063964199e+01  9.510695215588783e-04 -1.741753878548025e-04  5.628082249624599e+01  1.283211700441963e+01 -8.500219618472471e-04 -5.403982240608229e-04
  8.700000000000001e+00  5.518693209890022e+01 -3.271431930784772e+01  8.675109294813410e-04 -2.233064519074901e-04  5.896671737343502e+01  1.788338798743523e+01 -8.204069976365247e-04 -4.438128639279171e-04
  8.800000000000001e+00  6.120972522438370e+01 -3.065138787920072e+01  7.871204533707044e-04 -2.632485267994866e-04  6.145135451584931e+01  2.346544418428239e+01 -7.868185819290829e-04 -3.565434895449471e-04
  8.900000000000000e+00  6.746874084848507e+01 -2.800286753863351e+01  7.102494808712834e-04 -2.949102722240582e-04  6.368196057502056e+01  2.959830207627258e+01 -7.501588335117049e-04 -2.781270831349048e-04
  9.000000000000000e+00  7.393572985761618e+01 -2.471278316867826e+01  6.371641910867254e-04 -3.191529161910012e-04  6.560077099939016e+01  3.629938442311411e+01 -7.112308638390630e-04 -2.080794171632760e-04
  9.100000000000000e+00  8.057641114504025e+01 -2.072356953327354e+01  5.680551375313314e-04 -3.367885330334275e-04  6.714488946719069e+01  4.358297629547428e+01 -6.707451353022975e-04 -1.459028581223265e-04
  9.200000000000001e+00  8.734995267350557e+01 -1.597641419671215e+01  5.030461952291176e-04 -3.485790509643039e-04  6.824617829290858e+01  5.145963416923627e+01 -6.293258026559556e-04 -9.109317547029150e-05
  9.300000000000001e+00  9.420844335762212e+01 -1.041166191736502e+01  4.422028778741094e-04 -3.552358946166123e-04  6.883118538125284e+01  5.993554722016476e+01 -5.875169787614709e-04 -4.314543644312607e-05
  9.400000000000000e+00  1.010963597177788e+02 -3.969285324602050e+00  3.855400334460413e-04 -3.574201739269256e-04  6.882111374342961e+01  6.901185031367766e+01 -5.457888739996974e-04 -1.559058503630695e-06
  9.500000000000000e+00  1.079500318810799e+02  3.410573282289831e+00  3.330289339054104e-04 -3.557433399521415e-04  6.813184003484142e+01  7.868388859732221e+01 -5.045437739070735e-04  3.415790300920207e-05
  9.600000000000001e+00  1.146971141729023e+02  1.178698418832780e+01  2.846037777679555e-04 -3.507682330052830e-04  6.667398901707352e+01  8.894043407751070e+01 -4.641218162930727e-04  6.448516863599707e-05
  9.700000000000001e+00  1.212560662549572e+02  2.121753180987304e+01  2.401676242413942e-04 -3.430104584083438e-04  6.435307128564060e+01  9.976285510117364e+01 -4.248065438048343e-04  8.988727814340791e-05
  9.800000000000001e+00  1.275356515214052e+02  3.175753089606822e+01  1.995977865263399e-04 -3.329400281444350e-04  6.106969203322303e+01  1.111242402713156e+02 -3.868302100613619e-04  1.108112089625024e-04
  9.900000000000000e+00  1.334344602623168e+02  4.345915293258401e+01  1.627507045540710e-04 -3.209832146779945e-04  5.671983903020022e+01  1.229884790069103e+02 -3.503788269654251e-04  1.276845000575122e-04
  1.000000000000000e+01  1.388404659416326e+02  5.637045855390667e+01  1.294663300015486e-04 -3.075245691093187e-04  5.119525839359951e+01  1.353093017159646e+02 -3.155969342572007e-04  1.409138377184149e-04
  1.010000000000000e+01  1.436306238121367e+02  7.053433210852775e+01  9.957204567712097e-05 -2.929090599224082e-04  4.438392707490215e+01  1.480292833894124e+02 -2.825920966955664e-04  1.508840421635682e-04
  1.020000000000000e+01  1.476705219994184e+02  8.598731494758518e+01  7.288615043421487e-05 -2.774442961026580e-04  3.617063131839612e+01  1.610788153460411e+02 -2.514391141232863e-04  1.579574130587957e-04
  1.030000000000000e+01  1.508140961261169e+02  1.027583345302520e+02  4.922093434345243e-05 -2.614027984577660e-04  2.643766061616066e+01  1.743750508677637e+02 -2.221839484661814e-04  1.624733871103956e-04
  1.040000000000000e+01  1.529034195117525e+02  1.208673270672429e+02  2.838538317462280e-05 -2.450242901659294e-04  1.506562690364418e+01  1.878208315626036e+02 -1.948473775712500e-04  1.647484639057950e-04
  1.050000000000000e+01  1.537685819660004e+02  1.403237521662382e+02  1.018752007553303e-05 -2.285179865566533e-04  1.934418890685539e+00  2.013036024816537e+02 -1.694283639892546e-04  1.650763660867582e-04
  1.060000000000000e+01  1.532276711870773e+02  1.611249988089193e+02 -5.563567682997927e-06 -2.120648548356030e-04 -1.307569850457839e+01  2.146943252971498e+02 -1.459071674503321e-04  1.637284025903796e-04
  1.070000000000000e+01  1.510868717735609e+02  1.832546829879178e+02 -1.905600200302615e-05 -1.958198309779391e-04 -3.008282966940923e+01  2.278464002221264e+02 -1.242481845054044e-04  1.609539899405377e-04
  1.080000000000000e+01  1.471406978477677e+02  2.066808384725432e+02 -3.047366152486575e-05 -1.799139761402557e-04 -4.920202892971342e+01  2.405946088174290e+02 -1.044025491978573e-04  1.569813159036926e-04
  1.090000000000000e+01  1.411723762607102e+02  2.313540034637577e+02 -3.999497420181797e-05 -1.644565631409023e-04 -7.054370671372985e+01  2.527540913877040e+02 -8.631048677898434e-05  1.520181169922807e-04
  1.100000000000000e+01  1.329543982901642e+02  2.572052073505193e+02 -4.779193372428381e-05 -1.495370775614902e-04 -9.421185202819076e+01  2.641193743117753e+02 -6.990344047608232e-05  1.462525399631431e-04
  1.110000000000000e+01  1.222492586405443e+02  2.841438633998554e+02 -5.402932143283579e-05 -1.352271316648057e-04 -1.203020625479245e+02  2.744634643806862e+02 -5.510599018521134e-05  1.398540775170432e-04
  1.120000000000000e+01  1.088104013904543e+02  3.120555750100626e+02 -5.886410306743528e-05 -1.215822800872957e-04 -1.488993743029028e+02  2.835370290233526e+02 -4.183755058306815e-05  1.329745426801310e-04
  1.130000000000000e+01  9.238339329376167e+01  3.407998651377952e+02 -6.244499201102371e-05 -1.086437362545212e-04 -1.800758838109901e+02  2.910676831783379e+02 -3.001389126211507e-05  1.257490881414469e-04
  1.140000000000000e+01  7.270734550379666e+01  3.702078406822409e+02 -6.491215640380688e-05 -9.643999284492111e-05 -2.138881565677440e+02  2.967594055121520e+02 -1.954847542151583e-05  1.182972359572432e-04
  1.150000000000000e+01  4.951660533700726e+01  4.000798059789872e+02 -6.639704110966704e-05 -8.498832286107927e-05 -2.503744170849355e+02  3.002921086791422e+02 -1.035362939205697e-05  1.107239139059857e-04
  1.160000000000000e+01  2.254274009947003e+01  4.301828421271518e+02 -6.702230717792190e-05 -7.429619852672431e-05 -2.895515171856842e+02  3.013213903528934e+02 -2.341553653195660e-06  1.031204935770802e-04
  1.170000000000000e+01 -8.483164757472695e+00  4.602483716491830e+02 -6.690187325375518e-05 -6.436258823416807e-05 -3.314116810352918e+02  2.994784938192088e+02  4.574793337042138e-06  9.556579965419587e-05
  1.180000000000000e+01 -4.382787083403610e+01  4.899697309652064e+02 -6.614101943114292e-05 -5.517916044084359e-05 -3.759190274324096e+02  2.943705089888938e+02  1.048096106615048e-05  8.812711632799619e-05
  1.190000000000000e+01 -8.375299317969872e+01  5.189997763525795e+02 -6.483657057287928e-05 -4.673139618205369e-05 -4.230058722242275e+02  2.855808467448555e+02  1.546038203059652e-05  8.086114797833943e-05
  1.200000000000000e+01 -1.285116261565394e+02  5.469485524542469e+02 -6.307713755404620e-05 -3.899959509112705e-05 -4.725688163611966e+02  2.726700215595579e+02  1.959385241434575e-05  7.381496482139482e-05
  1.210000000000000e+01 -1.783445677307985e+02  5.733810559918044e+02 -6.094340352547079e-05 -3.195979107317726e-05 -5.244646280900967e+02  2.551767792801821e+02  2.295911087912827e-05  6.702687744564173e-05
  1.220000000000000e+01 -2.334761221688056e+02  5.978151311233296e+02 -5.850844030419466e-05 -2.558459399892854e-05 -5.785059311170760e+02  2.326196088507782e+02  2.563051700121832e-05  6.052731077943463e-05
  1.230000000000000e+01 -2.941094624784330e+02  6.197195368517109e+02 -5.583806574804839e-05 -1.984392650911104e-05 -6.344567142719433e+02  2.044986784913138e+02  2.767880599208183e-05  5.433961661083231e-05
  1.240000000000000e+01 -3.604215356912288e+02  6.385122310222857e+02 -5.299121477264634e-05 -1.470570134642912e-05 -6.920276822873025e+02  1.702982384469683e+02  2.917089926768313e-05  4.848082517128205e-05
  1.250000000000000e+01 -4.325574962623392e+02  6.535589197316423e+02 -5.002032060019701e-05 -1.013641019653733e-05 -7.508714717855686e+02  1.294895338181141e+02  3.016978503467271e-05  4.296237511880463e-05
  1.260000000000000e+01 -5.106246555156500e+02  6.641719253805030e+02 -4.697172414580564e-05 -6.101660233071016e-06 -8.105777614559070e+02  8.153427213890552e+01  3.073446370649435e-05  3.779077860599500e-05
  1.270000000000000e+01 -5.946859382216368e+02  6.696094311165847e+02 -4.388606544125651e-05 -2.566614341503737e-06 -8.706683107116646e+02  2.588869124362496e+01  3.091993583126396e-05  3.296826105270156e-05
  1.280000000000000e+01 -6.847528411077191e+02  6.690751639969576e+02 -4.079867596828990e-05  5.035808499087580e-07 -9.305919668543268e+02 -3.799172650640610e+01  3.077719896182884e-05  2.849331610832451e-05
  1.290000000000000e+01 -7.807778924081616e+02  6.617185838172587e+02 -3.773998889755603e-05  3.143477897538105e-06 -9.897196869362239e+02 -1.106468474209844e+02  3.035338056633918e-05  2.436127624605433e-05
  1.300000000000000e+01 -8.826466165061360e+02  6.466356491651401e+02 -3.473592357750022e-05  5.387023293224047e-06 -1.047339627111196e+03 -1.926057411997331e+02  2.969170901678808e-05  2.056475989320461e-05
  1.310000000000000e+01 -9.901690133470612e+02  6.228702368090754e+02 -3.180824984383435e-05  7.267297974067333e-06 -1.102652359286201e+03 -2.843797520908982e+02  2.883175758938705e-05  1.709416903850070e-05
