                      s                     f1                     f2                  delta                   frac
       3.20000000000000      0.912839567147106      0.912839567147106  -3.33066907387547e-16  -3.64869051884418e-16
       3.40000000000000      0.922927332158507      0.922927332158508  -3.33066907387547e-16  -3.60880966227951e-16
       3.60000000000000      0.931919526843412      0.931919526843412       0.00000000000000       0.00000000000000
       3.80000000000000      0.939922002237716      0.939922002237716  -3.33066907387547e-16  -3.54355900377477e-16
       4.00000000000000      0.947032829497246      0.947032829497246       0.00000000000000       0.00000000000000
       4.20000000000000      0.953342383347215      0.953342383347215       0.00000000000000       0.00000000000000
       4.40000000000000      0.958933547188000      0.958933547188000       0.00000000000000       0.00000000000000
       4.60000000000000      0.963882007772759      0.963882007772759       0.00000000000000       0.00000000000000
       4.80000000000000      0.968256612901645      0.968256612901645       0.00000000000000       0.00000000000000
       5.00000000000000      0.972119770446909      0.972119770446909       0.00000000000000       0.00000000000000
       5.20000000000000      0.975527871254668      0.975527871254669  -2.22044604925031e-16  -2.27614824207380e-16
       5.40000000000000      0.978531722100932      0.978531722100932   2.22044604925031e-16   2.26916102881464e-16
       5.60000000000000      0.981176977960434      0.981176977960434       0.00000000000000       0.00000000000000
       5.80000000000000      0.983504565430811      0.983504565430811       0.00000000000000       0.00000000000000
       6.00000000000000      0.985551091297435      0.985551091297435       0.00000000000000       0.00000000000000
       6.20000000000000      0.987349231980393      0.987349231980393  -1.11022302462516e-16  -1.12444815741468e-16
       6.40000000000000      0.988928101026832      0.988928101026832       0.00000000000000       0.00000000000000
       6.60000000000000      0.990313592947370      0.990313592947369   2.22044604925031e-16   2.24216456793431e-16
       6.80000000000000      0.991528702588468      0.991528702588468       0.00000000000000       0.00000000000000
       7.00000000000000      0.992593819922830      0.992593819922830       0.00000000000000       0.00000000000000
       7.20000000000000      0.993527000661620      0.993527000661620   3.33066907387547e-16   3.35236895590908e-16
       7.40000000000000      0.994344213475843      0.994344213475843       0.00000000000000       0.00000000000000
       7.60000000000000      0.995059564885478      0.995059564885478       0.00000000000000       0.00000000000000
       7.80000000000000      0.995685503056117      0.995685503056117       0.00000000000000       0.00000000000000
       8.00000000000000      0.996233001852648      0.996233001852648       0.00000000000000       0.00000000000000
       8.20000000000000      0.996711726553530      0.996711726553530       0.00000000000000       0.00000000000000
       8.40000000000000      0.997130182640463      0.997130182640463       0.00000000000000       0.00000000000000
       8.60000000000000      0.997495849057344      0.997495849057344       0.00000000000000       0.00000000000000
       8.80000000000000      0.997815297288035      0.997815297288035       0.00000000000000       0.00000000000000
       9.00000000000000      0.998094297541605      0.998094297541606  -2.22044604925031e-16  -2.22468563814007e-16
       9.20000000000000      0.998337913261848      0.998337913261848       0.00000000000000       0.00000000000000
       9.40000000000000      0.998550585099444      0.998550585099444       0.00000000000000       0.00000000000000
       9.60000000000000      0.998736205403486      0.998736205403486       0.00000000000000       0.00000000000000
       9.80000000000000      0.998898184206779      0.998898184206779       0.00000000000000       0.00000000000000
       10.0000000000000      0.999039507598271      0.999039507598272  -2.22044604925031e-16  -2.22258082124134e-16
       10.2000000000000      0.999162789297618      0.999162789297618   2.22044604925031e-16   2.22230658810985e-16
       10.4000000000000      0.999270316172103      0.999270316172103   2.22044604925031e-16   2.22206745593741e-16
       10.6000000000000      0.999364088365674      0.999364088365673   2.22044604925031e-16   2.22185895520976e-16
       10.8000000000000      0.999445854643953      0.999445854643953       0.00000000000000       0.00000000000000
       11.0000000000000      0.999517143498061      0.999517143498061       0.00000000000000       0.00000000000000
       11.2000000000000      0.999579290493844      0.999579290493844  -2.22044604925031e-16  -2.22138060518771e-16
       11.4000000000000      0.999633462301628      0.999633462301628  -2.22044604925031e-16  -2.22126022486062e-16
       11.6000000000000      0.999680677794710      0.999680677794710       0.00000000000000       0.00000000000000
       11.8000000000000      0.999721826562263      0.999721826562263       0.00000000000000       0.00000000000000
       12.0000000000000      0.999757685143858      0.999757685143858       0.00000000000000       0.00000000000000
       12.2000000000000      0.999788931258194      0.999788931258194       0.00000000000000       0.00000000000000
       12.4000000000000      0.999816156267516      0.999816156267516  -2.22044604925031e-16  -2.22085433940137e-16
       12.6000000000000      0.999839876091378      0.999839876091378       0.00000000000000       0.00000000000000
       12.8000000000000      0.999860540758490      0.999860540758490   2.22044604925031e-16   2.22075575416337e-16
       13.0000000000000      0.999878542763265      0.999878542763265   2.22044604925031e-16   2.22071577125146e-16
       13.2000000000000      0.999894224373911      0.999894224373911       0.00000000000000       0.00000000000000
