

Spouge Algorithm


spouge<float>
err = 6.349363e-02
err = 7.145545e-03
err = 9.285597e-04
err = 1.279854e-04
err = 1.821905e-05
err = 2.647008e-06
err = 3.900335e-07
a = 8.000000e+00
c_0 = 2.901419e+03
c_1 = -5.929168e+03
c_2 = 4.148274e+03
c_3 = -1.164760e+03
c_4 = 1.174135e+02
c_5 = -2.786588e+00
c_6 = 3.775392e-03
c_7 = -0.000000e+00
 0.000000e+00 inf inf -nan
 1.310000e+00 -1.098098e-01 -1.098102e-01 3.799796e-07
 1.320000e+00 -1.113338e-01 -1.113333e-01 -4.395843e-07
 1.330000e+00 -1.127460e-01 -1.127454e-01 -5.736947e-07
 1.340000e+00 -1.140483e-01 -1.140476e-01 -7.078052e-07
 1.350000e+00 -1.152406e-01 -1.152409e-01 3.278255e-07
 1.360000e+00 -1.163264e-01 -1.163265e-01 8.195639e-08
 1.370000e+00 -1.173058e-01 -1.173055e-01 -2.980232e-07
 1.380000e+00 -1.181794e-01 -1.181788e-01 -5.289912e-07
 1.390000e+00 -1.189489e-01 -1.189476e-01 -1.303852e-06
 1.400000e+00 -1.196133e-01 -1.196129e-01 -4.395843e-07
 1.410000e+00 -1.201762e-01 -1.201757e-01 -5.438924e-07
 1.420000e+00 -1.206363e-01 -1.206368e-01 5.215406e-07
 1.430000e+00 -1.209992e-01 -1.209974e-01 -1.728535e-06
 1.440000e+00 -1.212587e-01 -1.212584e-01 -3.352761e-07
 1.450000e+00 -1.214214e-01 -1.214206e-01 -8.046627e-07
 1.460000e+00 -1.214851e-01 -1.214850e-01 -5.215406e-08
 1.470000e+00 -1.214531e-01 -1.214525e-01 -6.407499e-07
 1.480000e+00 -1.213245e-01 -1.213240e-01 -5.215406e-07
 1.490000e+00 -1.211005e-01 -1.211003e-01 -2.309680e-07
 1.500000e+00 -1.207828e-01 -1.207822e-01 -5.885959e-07
 1.510000e+00 -1.203711e-01 -1.203707e-01 -3.948808e-07
 1.520000e+00 -1.198669e-01 -1.198666e-01 -3.650784e-07
 1.530000e+00 -1.192708e-01 -1.192706e-01 -2.682209e-07
 1.540000e+00 -1.185834e-01 -1.185835e-01 1.415610e-07
 1.550000e+00 -1.178070e-01 -1.178061e-01 -8.270144e-07
 1.560000e+00 -1.169394e-01 -1.169393e-01 -9.685755e-08
 1.570000e+00 -1.159849e-01 -1.159837e-01 -1.251698e-06
 1.580000e+00 -1.149403e-01 -1.149401e-01 -2.533197e-07
 1.590000e+00 -1.138099e-01 -1.138092e-01 -6.705523e-07
 1.600000e+00 -1.125931e-01 -1.125918e-01 -1.370907e-06
 1.610000e+00 -1.112878e-01 -1.112885e-01 6.482005e-07
 1.620000e+00 -1.099000e-01 -1.099001e-01 5.960464e-08
 1.630000e+00 -1.084273e-01 -1.084272e-01 -1.415610e-07
 1.640000e+00 -1.068703e-01 -1.068705e-01 2.458692e-07
 1.650000e+00 -1.052303e-01 -1.052307e-01 4.619360e-07
 1.660000e+00 -1.035087e-01 -1.035085e-01 -2.235174e-07
 1.670000e+00 -1.017041e-01 -1.017044e-01 3.129244e-07
 1.680000e+00 -9.981984e-02 -9.981921e-02 -6.332994e-07
